sample_id,label,class,claude_score,model,condition,score,model_used,error
1,swati_thought_leadership,clear_ai,85,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
1,swati_thought_leadership,clear_ai,85,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
2,blackbridge_launch,clear_ai,88,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
2,blackbridge_launch,clear_ai,88,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
3,lidere360_phases,clear_ai,85,anthropic/claude-haiku-4.5,cortex,76,anthropic/claude-haiku-4.5,
3,lidere360_phases,clear_ai,85,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
4,rewiring_identity,clear_ai,75,anthropic/claude-haiku-4.5,cortex,62,anthropic/claude-haiku-4.5,
4,rewiring_identity,clear_ai,75,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
5,dwayne_ceo_pitch,clear_ai,70,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
5,dwayne_ceo_pitch,clear_ai,70,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
6,gary_subscribe_pitch,clear_ai,65,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
6,gary_subscribe_pitch,clear_ai,65,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
7,samuel_em_dash_cadence,clear_ai,80,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
7,samuel_em_dash_cadence,clear_ai,80,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
8,amira_motivational,clear_ai,75,anthropic/claude-haiku-4.5,cortex,42,anthropic/claude-haiku-4.5,
8,amira_motivational,clear_ai,75,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
9,umaima_motivational_assignment,clear_ai,65,anthropic/claude-haiku-4.5,cortex,22,anthropic/claude-haiku-4.5,
9,umaima_motivational_assignment,clear_ai,65,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
10,nancy_authenticity,clear_ai,70,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
10,nancy_authenticity,clear_ai,70,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
11,antonio_hyderabad,human,25,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
11,antonio_hyderabad,human,25,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
12,emily_resonance,human,30,anthropic/claude-haiku-4.5,cortex,38,anthropic/claude-haiku-4.5,
12,emily_resonance,human,30,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
13,priya_cenote,human,12,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
13,priya_cenote,human,12,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
14,james_hawkins_postits,human,8,anthropic/claude-haiku-4.5,cortex,12,anthropic/claude-haiku-4.5,
14,james_hawkins_postits,human,8,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
15,narayan_gps_analogy,human,18,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
15,narayan_gps_analogy,human,18,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
16,lance_replacement_story,human,22,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
16,lance_replacement_story,human,22,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
17,reuven_melbourne,human,18,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
17,reuven_melbourne,human,18,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
18,kane_wellness_residences,human,22,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
18,kane_wellness_residences,human,22,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
19,alex_saturday_claude,human,15,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
19,alex_saturday_claude,human,15,anthropic/claude-haiku-4.5,native,25,anthropic/claude-haiku-4.5,
20,shae_followers,human,20,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
20,shae_followers,human,20,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
21,shubhi_agile,ambig,50,anthropic/claude-haiku-4.5,cortex,62,anthropic/claude-haiku-4.5,
21,shubhi_agile,ambig,50,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
22,nilema_toxic_leaders,ambig,55,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
22,nilema_toxic_leaders,ambig,55,anthropic/claude-haiku-4.5,native,28,anthropic/claude-haiku-4.5,
23,mia_emerging_leaders,ambig,35,anthropic/claude-haiku-4.5,cortex,68,anthropic/claude-haiku-4.5,
23,mia_emerging_leaders,ambig,35,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
24,meriel_hr_transformation,ambig,50,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
24,meriel_hr_transformation,ambig,50,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
25,mandeep_gmat_student,ambig,40,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
25,mandeep_gmat_student,ambig,40,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
26,jason_financial_planner,ambig,45,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
26,jason_financial_planner,ambig,45,anthropic/claude-haiku-4.5,native,25,anthropic/claude-haiku-4.5,
27,anastasia_linkedin_break,ambig,30,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
27,anastasia_linkedin_break,ambig,30,anthropic/claude-haiku-4.5,native,28,anthropic/claude-haiku-4.5,
28,ron_dad_letter,ambig,35,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
28,ron_dad_letter,ambig,35,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
29,randi_morning_person,ambig,50,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
29,randi_morning_person,ambig,50,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
30,natalie_tuesday_pitch,ambig,50,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
30,natalie_tuesday_pitch,ambig,50,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
31,mak_singh_unlock_greatness,clear_ai,88,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
31,mak_singh_unlock_greatness,clear_ai,88,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
32,real_estate_emoji_template,clear_ai,90,anthropic/claude-haiku-4.5,cortex,82,anthropic/claude-haiku-4.5,
32,real_estate_emoji_template,clear_ai,90,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
33,anchor_bridge_template,clear_ai,80,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
33,anchor_bridge_template,clear_ai,80,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
34,webanix_corporate,clear_ai,85,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
34,webanix_corporate,clear_ai,85,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
35,salesxchange_hashtag_stack,clear_ai,90,anthropic/claude-haiku-4.5,cortex,82,anthropic/claude-haiku-4.5,
35,salesxchange_hashtag_stack,clear_ai,90,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
